University Name,City,State,Mascot/Team Name,Region
Syracuse University,Syracuse,NY,The Orangemen,Top Recommendations
Texas A&M University—College Station,College Station,TX,The Aggies,Top Recommendations
"University of California, Los Angeles",Los Angeles,CA,The Bruins,Top Recommendations
University of Florida,Gainesville,FL,The Gators,Top Recommendations
University of Michigan—Dearborn,Dearborn,MI,The Wolverines,Top Recommendations
University of Southern California,Los Angeles,CA,The Trojan Family,Top Recommendations
Boston College,Chestnut Hill,MA,"The Eagles, The Superfans",Northeast
Bowie State University,Bowie,MD,The Bulldogs,Northeast
Carnegie Mellon University,Pittsburgh,PA,The Tartans,Northeast
Champlain College,Burlington,VT,The Beavers,Northeast
Emerson College,Boston,MA,"The Lions, Emersonians",Northeast
Grove City College,Grove City,PA,The Wolverines,Northeast
Harvard University,Cambridge,MA,The Crimson,Northeast
Howard University,Washington,DC,"The Bison, Bison Backers",Northeast
Iona University,New Rochelle,NY,The Gaels,Northeast
Lafayette College,Easton,PA,The Leopards,Northeast
Monmouth University,West Long Branch,NJ,The Hawks,Northeast
Mount Aloysius College,Cresson,PA,The Mounties,Northeast
Northeastern University,Boston,MA,The Huskies,Northeast
Pennsylvania State University—University Park,University Park,PA,The Nittany Lions,Northeast
