City,State,Walk Score,Transit Score,Bike Score,Population
New York,NY,88,88.6,69.3,"8,175,133"
Los Angeles,CA,68.6,52.9,58.7,"3,792,621"
Chicago,IL,77.2,65,72.2,"2,695,598"
Houston,TX,47.5,36.2,48.6,"2,099,451"
Philadelphia,PA,74.8,67,66.7,"1,526,006"
Phoenix,AZ,41.4,35.6,55.9,"1,445,632"
San Antonio,TX,36.9,30.9,44.5,"1,327,407"
San Diego,CA,53.3,37.3,43,"1,307,402"
Dallas,TX,46,38.9,49.3,"1,197,816"
San Jose,CA,50.5,40.1,61.5,"945,942"
Jacksonville,FL,25.6,20.8,40.5,"821,784"
Indianapolis,IN,31,24.9,42.8,"820,445"
San Francisco,CA,88.7,77.1,72.3,"805,235"
Austin,TX,41.7,34.8,54,"790,390"
Columbus,OH,41.2,30.2,47.7,"787,033"
Fort Worth,TX,34.9,21.6,38.6,"741,206"
Charlotte,NC,26.4,27.4,31.3,"731,424"
Detroit,MI,51.1,35.7,52.1,"713,777"
El Paso,TX,40.4,28,42,"649,121"
Memphis,TN,35,22.2,41.2,"646,889"
Baltimore,MD,64.3,53.2,53.4,"620,961"
Boston,MA,82.8,72.4,69.4,"617,594"
Seattle,WA,74.4,59.6,71.1,"608,660"
Washington D.C.,DC,76.7,68.7,69.5,"601,723"
Nashville-Davidson,TN,28.8,21.7,29.7,"601,222"
Denver,CO,61.2,44.6,71.8,"600,158"
Louisville-Jefferson,KY,34.3,27.3,43.3,"597,337"
Milwaukee,WI,61.5,48.7,57.6,"594,833"
Portland,OR,67.3,49.3,82.7,"583,776"
Las Vegas,NV,42,35.5,46.5,"583,756"
